names,ICP_IC_batch,sample_id,reactor,cycle,treatment,sample_timepoint,hours_after_start,replicate,ICP_sample,IC_sample,RNA_sample,date,time,initial_p,initial_no3,Al ,Ca,Fe ,Mg ,Mn,P ,S ,Cl,NO2,NO3,PO4,SO4
N_C2_DRW_6,6,134,DRW,2,P+N,6,846,R2,TRUE,TRUE,FALSE,4/2/2024,3:00 PM,0.25,16.2,0.0098,10.3597,-0.0029,0.8809,0.0084,-0.0119,0.1015,0,0,1.266,0,0
N_C2_CNS_12,6,135,CNS,2,P+N,12,852,R1,TRUE,TRUE,FALSE,4/2/2024,9:00 PM,0.25,16.2,0.028,34.6308,0.0818,1.6215,0.0259,-0.0012,0.3581,9.62,0,0,0,0.2295
N_C2_CNS_12,6,136,CNS,2,P+N,12,852,R2,TRUE,TRUE,FALSE,4/2/2024,9:00 PM,0.25,16.2,0.0323,32.1831,0.0932,1.6325,0.0232,-0.0037,0.1566,0,0,0,0,0
N_C2_DRW_12,6,137,DRW,2,P+N,12,852,R1,TRUE,TRUE,FALSE,4/2/2024,9:00 PM,0.25,16.2,0.0134,20.5077,0.0135,1.226,0.0204,-0.0201,0.1509,3.3801,0,0,0,0
N_C2_DRW_12,6,138,DRW,2,P+N,12,852,R2,TRUE,TRUE,FALSE,4/2/2024,9:00 PM,0.25,16.2,0.0116,19.7028,0.0146,1.3186,0.0219,-0.0272,0.0927,0.4835,0,0,0,0
N_C2_CNS_24,6,139,CNS,2,P+N,24,864,R1,TRUE,TRUE,TRUE,4/3/2024,9:00 AM,0.25,16.2,0.0244,24.6924,0.0827,1.7039,0.0193,-0.0226,0.185,0,0,0,0,0
N_C2_CNS_24,6,140,CNS,2,P+N,24,864,R2,TRUE,TRUE,TRUE,4/3/2024,9:00 AM,0.25,16.2,0.0236,16.7347,0.0897,1.6953,0.0135,-0.0094,0.1947,0.2203,0,0,0,0
N_C2_DRW_24,6,141,DRW,2,P+N,24,864,R1,TRUE,TRUE,TRUE,4/3/2024,9:00 AM,0.25,16.2,0.0146,16.6632,0.0181,1.3665,0.0174,-0.0305,0.1004,0.0268,0,0,0,0
N_C2_DRW_24,6,142,DRW,2,P+N,24,864,R2,TRUE,TRUE,TRUE,4/3/2024,9:00 AM,0.25,16.2,0.0139,13.3066,0.0183,1.3785,0.0138,-0.0361,0.1039,0,0,0,0,0
N_C2_CNS_72,6,143,CNS,2,P+N,72,912,R1,TRUE,TRUE,FALSE,4/5/2024,9:00 AM,0.25,16.2,0.038,41.4657,0.1122,1.9755,0.0311,-0.0024,0.2637,1.4683,0,0,0,0
N_C2_CNS_72,6,144,CNS,2,P+N,72,912,R2,TRUE,TRUE,FALSE,4/5/2024,9:00 AM,0.25,16.2,0.0299,35.8792,0.1007,1.8127,0.0273,0.0593,0.1669,0,0,0,0,0
N_C2_DRW_72,6,145,DRW,2,P+N,72,912,R1,TRUE,TRUE,FALSE,4/5/2024,9:00 AM,0.25,16.2,0.0141,40.4794,0.0439,1.6084,0.0324,0.0873,0.1396,3.7447,0,0.1653,0.1653,0
N_C2_DRW_72,6,146,DRW,2,P+N,72,912,R2,TRUE,TRUE,FALSE,4/5/2024,9:00 AM,0.25,16.2,0.0164,40.5482,0.0521,1.6462,0.0334,-0.019,0.1114,0,0,0,0,0
N_C2_CNS_120,6,147,CNS,2,P+N,120,960,R1,TRUE,TRUE,TRUE,4/7/2024,9:00 AM,0.25,16.2,0.0335,39.3708,0.13,1.959,0.0297,-0.0073,0.2238,0.501,0,0,0,0
N_C2_CNS_120,6,148,CNS,2,P+N,120,960,R2,TRUE,TRUE,TRUE,4/7/2024,9:00 AM,0.25,16.2,0.0278,22.0175,0.1392,1.8816,0.0168,-0.0201,0.2205,0.0692,0,0,0,0
N_C2_DRW_120,6,149,DRW,2,P+N,120,960,R1,TRUE,TRUE,TRUE,4/7/2024,9:00 AM,0.25,16.2,0.0219,45.1437,0.0824,1.6899,0.035,-0.0273,0.1588,0.7339,0,0,0,0
N_C2_DRW_120,6,150,DRW,2,P+N,120,960,R2,TRUE,TRUE,TRUE,4/7/2024,9:00 AM,0.25,16.2,0.019,21.5423,0.1064,1.4181,0.0207,-0.0254,0.287,23.8719,0,0,0,0.1637
